Generation,Score
0,0.7383473188258541
1,0.7383473188258541
2,0.7380849397846223
3,0.7380477613216151
4,0.7379125219434098
5,0.7378934606782834
6,0.7378933320054295
7,0.7377019311350606
8,0.7375363935083517
9,0.7374922587194195
10,0.7373080635288762
11,0.7371884621110558
12,0.737006776041166
13,0.737006776041166
14,0.7369645713450443
15,0.7367679592240873
16,0.7368216801406445
17,0.7367900770510096
18,0.7366011045180837
19,0.7365463037699378
20,0.736545982169303
21,0.7364910527809032
22,0.7364472507744626
23,0.7355725137968626
24,0.7355725137968626
25,0.7355476029737472
26,0.7351175863388759
27,0.735049801348741
28,0.7349860757258858
29,0.7348666143459328
30,0.7345454652091257
31,0.7346656504080741
32,0.7346085392195503
33,0.7344099970057827
34,0.7335645205351188
35,0.7335631047749408
36,0.733576732432189
37,0.7334221851583059
38,0.73325535896208
39,0.7331053761043558
40,0.7330813968476342
41,0.7329877941726035
42,0.7329834083700484
43,0.7329834083700484
44,0.7328003637754232
45,0.7326857038186778
46,0.7325437928408226
47,0.7324858844209641
48,0.7324188497563553
49,0.7322640986069955
50,0.7320859166495324
51,0.7320647392965165
52,0.7317509294291022
53,0.7317323832017641
54,0.7316967667444196
55,0.7315723337520033
56,0.7314778057489968
57,0.7311857507987714
58,0.7310524618223664
59,0.7309233098362757
60,0.7307932014726728
61,0.7306327892186403
62,0.7305816436409147
63,0.7304166207380659
64,0.7303509444392594
65,0.7301714548273168
66,0.7301727350670595
67,0.7294826771740281
68,0.7293323421594642
69,0.7293323421594642
70,0.7291143632430861
71,0.7291143632430861
72,0.7290766898656259
73,0.7290482900258164
74,0.728931364559213
75,0.7288619000861654
76,0.7287480006178776
77,0.7285557124099231
78,0.728526453938414
79,0.7285336727316029
80,0.7283650136680915
81,0.7282979509832248
82,0.7282519953264182
83,0.7282232191013356
84,0.7282225818735719
85,0.7281296103428694
86,0.7279745112463565
87,0.7277982278341909
88,0.727673708676556
89,0.727625791569686
90,0.7275151370906321
91,0.7273836951002792
92,0.7273474549378014
93,0.7271890390962172
94,0.7271663614941657
95,0.7270024656734482
96,0.7269069151209289
97,0.7268206850270826
98,0.7267620719213133
99,0.7267423225400231
100,0.7266771341218792
101,0.7265304555994369
102,0.7264486370793688
103,0.7262784191219183
104,0.7261136430768622
105,0.7260360282603602
106,0.726025089337174
107,0.726025089337174
108,0.7258513537920956
109,0.7258233142487613
110,0.7255885146493983
111,0.725388827631328
112,0.7251456287993896
113,0.7251407029336687
114,0.7250966129268408
115,0.7249323951008917
116,0.7248965336148712
117,0.7248947026587188
118,0.7247731393568109
119,0.7247731393568109
120,0.7246409697716303
121,0.7246157465683516
122,0.7243963046998267
123,0.7243716490186219
124,0.7243716490186219
125,0.7243257908022871
126,0.7242038971676558
127,0.7242028257137837
128,0.7240587926695599
129,0.7240490943370406
130,0.7238820288597743
131,0.7238834766766459
132,0.7238107710902697
133,0.7237053322528842
134,0.7237051434072053
135,0.723582106056912
136,0.7235810367268334
137,0.7233353424158455
138,0.7233554964823262
139,0.723289600960553
140,0.7231976030410372
141,0.723079326260319
142,0.7230502000868984
143,0.7230292516431129
144,0.7229746917070572
145,0.7229003404810105
146,0.7228016857370985
147,0.7227024046138599
148,0.7226578972648128
149,0.7225461161348954
150,0.7223880924677835
151,0.7222924887506921
152,0.7222924887506921
153,0.7222914892564363
154,0.7221897907158977
155,0.7220229376435524
156,0.721920239608758
157,0.7218523364677473
158,0.7218507122895814
159,0.7218507122895814
160,0.7215699793404537
161,0.7215699793404537
162,0.72130961108679
163,0.7210143854709516
164,0.7209437961891283
165,0.7207709461512475
166,0.7207683849472166
167,0.7206961090188364
168,0.7205909747167932
169,0.72054787450608
170,0.7205350810778832
171,0.7204288644203654
172,0.7203139107874935
173,0.7202198769446235
174,0.7200585887136394
175,0.7200585887136394
176,0.7199837719129338
177,0.7198931035054338
178,0.7197925270039183
179,0.7196540886668297
180,0.719577493837102
181,0.7194275755665285
182,0.7194095039866775
183,0.7194067715141226
184,0.719269464768244
185,0.7191756912782954
186,0.7190055327601104
187,0.7188422675249612
188,0.7186529816988925
189,0.7187188715484525
190,0.7187236533754233
191,0.7185892654070465
192,0.718529204037029
193,0.7184579189928918
194,0.718286437824924
195,0.718286437824924
196,0.718187737942559
197,0.7180930574525728
198,0.7180243900051679
199,0.7179807771294079
200,0.7179042067963977
201,0.717762279099855
202,0.7174504842082361
203,0.7172825449177214
204,0.7172880644196715
205,0.7172660327230469
206,0.7172660327230469
207,0.7172381680199582
208,0.7170475017810858
209,0.7170475017810858
210,0.7170067241668099
211,0.7170350210668949
212,0.7169253638650579
213,0.7169253638650579
214,0.7168281102071541
215,0.7167620813911914
216,0.7167003105082207
217,0.7166045995796618
218,0.716411634993199
219,0.716411634993199
220,0.7163407311525065
221,0.716267358944862
222,0.7161875072739688
223,0.7160689652919575
224,0.7160383654123441
225,0.7159129085051896
226,0.7158513375545096
227,0.7157251587189131
228,0.7157251587189131
229,0.7156948392737307
230,0.7155993914463001
231,0.7155993914463002
232,0.715503383755503
233,0.7153450750918341
234,0.7153008101479852
235,0.715121657268508
236,0.715121657268508
237,0.7150507451452056
238,0.7147795599948796
239,0.7146536372547124
240,0.7145882039104074
241,0.7145882039104074
242,0.714456910093628
